Catalyst Name,Surface Area,Metal Loading,Particle Size,Pore Volume,Acid Sites,Temperature,Pressure,Alkene Hydrogenation,Oxidation,Dehydrogenation
6649SZ5Y,0.6147068338352458,0.8477793024230009,0.2872042143672422,0.672920217361646,0.7094606946102939,247.12443967579696,271.39511120331775,0.832335224163798,0.7764624501925939,0.5160902838321614
W0UGTM61,0.5435671919520406,0.11270792362310877,0.6289923431050981,0.5802063771077044,0.5448325867498265,294.6274204517608,318.4564325152316,0.492783133947587,0.6536277070889219,0.3868060889295991
KXY87W9U,0.609878047097603,0.1982675348312083,0.2374570137278459,0.5985079104276979,0.43449318397724174,301.59362955729745,330.3313901673193,0.25170603435951894,0.4457343142378287,0.4287341039456279
YE5191NI,0.5549421142768647,0.18448202532254077,0.5403554771112103,0.521896143433018,0.424070930605858,272.1900855106218,279.71433519430553,0.6740365697532388,0.32493448103450906,0.5270811460670579
9W0GXNIY,0.3359571502553481,0.4433846404293231,0.2977805414485364,0.12840202493094788,0.6216829903591345,333.52876505563484,259.81656603642085,0.22546952716271101,0.6405075458797296,0.3251674841878358
0QPC3ZBJ,0.4790304376005442,0.2492302986219419,0.7336292306593535,0.7831015143374298,0.49689038281278775,367.6417637066408,284.9414416968262,0.30574152559288853,0.19958391705714146,0.5667832980403565
4VFM2A05,0.39119443760547346,0.36748224701433885,0.4637214990632178,0.38251794891338203,0.48788291636129577,311.30875167813406,286.4522938883974,0.4775837198241131,0.5283515058095647,0.7488259947881635
TH2IMOJW,0.45640928875114656,0.5478211132138915,0.28938384822459917,0.44848009659883514,0.8002262850831005,350.8557030434003,225.06059022808103,0.5879883369590677,0.43300991257740923,0.7437586837053838
CHOWWEX5,0.24131764528674943,0.7289335182918664,0.6911226880852801,0.6434939662743892,0.9216879311389117,299.5180560118506,282.5025879856899,0.3838107135120013,0.5089220156841516,0.619095178811034
NT2MAZ1K,0.9263899452213022,0.7598368608621746,0.3890897883226649,0.4065182458396922,0.862112231065893,308.7509543623681,347.3994205152911,0.703139455936805,0.4992525058450985,0.5969989137757563
UK2DE6MW,1.047605218274279,0.5575504211102468,0.44954807711019107,0.257517309273284,0.7132939512203097,275.99458735383126,285.9879135037098,0.5276291393867527,0.1931161012224979,0.8191093469258313
SM6TQ1O2,0.28749134492558465,0.6916904600574518,0.306816039060242,0.18365532222649295,0.4703620071780674,378.2837818580092,213.5517527825454,0.9086972642454555,0.49383822571680186,0.6968620114622162
HMSKV90R,0.892458810863413,0.3112938487511267,0.33898439653605705,0.3837850301787593,0.4294142496890258,308.19205325673323,255.40807646110807,0.8628309982774848,0.2870755841006633,0.24958318732952683
JT7ZRCPM,0.5529028082613192,0.8064323141619536,0.46561411183433243,0.3596822087783009,0.3334309279926768,296.4416085983165,290.5192522557696,0.4717119724115888,0.2823401336173671,0.9486242148886044
C9DM5PVL,0.4370346817498584,0.41869856627932367,0.3569616748862996,0.7387005744611987,0.8051879476895865,275.9850839728069,260.2329446066721,0.4114326950334529,0.6834815884693828,0.3256024730358577
